"","V1","V2","V3","V4"
"",3.00238225544192,709,40,14
"",3.01160461427452,709,39,15
"",3.02730772434383,709,38,16
"",3.03513207778082,708,39,16
"",3.04444062053337,708,38,17
"",3.04922558417257,707,39,17
"",3.075278607457,706,40,17
"",3.08625623297799,705,41,17
"",3.09486504813468,704,42,17
"",3.10193239187775,704,41,18
"",3.10634356074102,703,42,18
"",3.13511607490405,702,43,18
"",3.14579003349463,702,42,19
"",3.15112112047331,701,43,19
"",3.18106325880876,701,42,20
"",3.1834981949914,701,41,21
"",3.19479210544869,700,42,21
"",3.20275689757819,699,43,21
"",3.21804508091339,699,42,22
"",3.25814691844145,698,43,22
"",3.26097562947647,697,44,22
"",3.27330127845234,696,45,22
"",3.27356311829658,696,44,23
"",3.28273503778279,696,43,24
"",3.28959184436884,695,44,24
"",3.29148630286304,694,45,24
"",3.30413597011811,693,46,24
"",3.30470756507753,692,47,24
"",3.33005233338508,691,48,24
"",3.34026297996585,691,47,25
"",3.34715769259617,690,48,25
"",3.34726496250196,689,49,25
"",3.36676108101107,688,50,25
"",3.36969597563871,687,51,25
"",3.37112853483632,687,50,26
"",3.38396970316318,686,51,26
"",3.38629136440182,685,52,26
"",3.400404061493,684,53,26
"",3.40458922621209,683,54,26
"",3.40690866009409,683,53,27
"",3.44005839120864,682,54,27
"",3.44416531685963,681,55,27
"",3.45006350648327,680,56,27
"",3.46074395541663,679,57,27
"",3.4753328787057,678,58,27
"",3.48495598324074,677,59,27
"",3.5064163974212,676,60,27
"",3.50778641856269,675,61,27
"",3.50981419225764,674,62,27
"",3.51444216854537,674,61,28
"",3.52260186310742,673,62,28
"",3.52429265007192,673,61,29
"",3.5284222484586,672,62,29
"",3.56786733371173,671,63,29
"",3.58622712468143,671,62,30
"",3.59394022114247,671,61,31
"",3.62471222066819,670,62,31
"",3.63080802069862,669,63,31
"",3.63157947127535,669,62,32
"",3.64777000432883,668,63,32
"",3.65260066664734,667,64,32
"",3.66353545550924,666,65,32
"",3.67155509722458,666,64,33
"",3.67349323821727,665,65,33
"",3.6964411790679,665,64,34
"",3.70632254509433,665,63,35
"",3.71438628123487,664,64,35
"",3.72526657839071,663,65,35
"",3.72623196400497,662,66,35
"",3.73790592213793,661,67,35
"",3.74291392590908,660,68,35
"",3.74752573609548,659,69,35
"",3.74911746868098,658,70,35
"",3.76146149740646,657,71,35
"",3.76710039175258,656,72,35
"",3.77087557966513,656,71,36
"",3.77149574925819,655,72,36
"",3.78390956404132,654,73,36
"",3.78998048931323,653,74,36
"",3.79089825750691,652,75,36
"",3.79296357221337,651,76,36
"",3.79793579793476,651,75,37
"",3.79975785094504,651,74,38
"",3.81147749980752,650,75,38
"",3.81194268700003,650,74,39
"",3.81406780636569,649,75,39
"",3.81567384723474,648,76,39
"",3.82826345212203,648,75,40
"",3.8294524405262,647,76,40
"",3.8417850481059,646,77,40
"",3.85622261144926,646,76,41
"",3.85904466435292,645,77,41
"",3.85964591917591,644,78,41
"",3.8609326949441,643,79,41
"",3.87791852726181,643,78,42
"",3.87987007853393,642,79,42
"",3.8859490379111,641,80,42
"",3.89075879401788,641,79,43
"",3.89092789207441,640,80,43
"",3.8965168382827,639,81,43
"",3.90945743177174,638,82,43
"",3.91000566492793,637,83,43
"",3.91183673387948,636,84,43
"",3.93445167631479,635,85,43
"",3.93781359159375,634,86,43
"",3.9405871800848,633,87,43
"",3.94791520685296,632,88,43
"",3.94995295147389,632,87,44
"",3.95513617779345,632,86,45
"",3.95771847327409,631,87,45
"",3.96084764453807,630,88,45
"",3.96126489399729,629,89,45
"",3.96236729476283,628,90,45
"",3.98431514889726,627,91,45
"",3.9874503758746,626,92,45
"",3.99939139113583,625,93,45
"",4.00324394704559,625,92,46
"",4.00963334248483,624,93,46
"",4.01846591333993,623,94,46
"",4.02446131063786,622,95,46
"",4.02615240468339,621,96,46
"",4.03071715845733,621,95,47
"",4.03434429514143,620,96,47
